Vir: 28572, Phy: 31644, Data: 0
Vir: 782, Phy: 24078, Data: 0
Vir: 30273, Phy: 15937, Data: 0
Vir: 62267, Phy: 25915, Data: -50
Vir: 17922, Phy: 2, Data: 17
Vir: 63238, Phy: 10246, Data: 61
Vir: 3308, Phy: 12524, Data: 0
Vir: 26545, Phy: 5041, Data: 0
Vir: 44395, Phy: 24427, Data: 90
Vir: 39120, Phy: 19152, Data: 0
Vir: 21706, Phy: 29642, Data: 21
Vir: 7144, Phy: 24808, Data: 0
Vir: 30244, Phy: 15908, Data: 0
Vir: 3725, Phy: 24973, Data: 0
Vir: 54632, Phy: 25192, Data: 0
Vir: 30574, Phy: 25454, Data: 29
Vir: 8473, Phy: 25625, Data: 0
Vir: 12386, Phy: 20066, Data: 12
Vir: 41114, Phy: 3482, Data: 40
Vir: 57930, Phy: 21322, Data: 56
Vir: 15341, Phy: 6125, Data: 0
Vir: 15598, Phy: 4846, Data: 15
Vir: 59922, Phy: 25874, Data: 58
Vir: 18226, Phy: 26162, Data: 17
Vir: 48162, Phy: 26402, Data: 47
Vir: 41250, Phy: 23842, Data: 40
Vir: 1512, Phy: 27624, Data: 0
